timestamp_utc,data_age_min,truck_status,estimated_liters,estimated_gallons,estimated_pct,sensor_pct,sensor_liters,sensor_gallons,sensor_ema_pct,ecu_level_pct,model_level_pct,confidence_indicator,consumption_lph,consumption_gph,idle_method,idle_mode,mpg_current,speed_mph,rpm,hdop,altitude_ft,coolant_temp_f,odometer_mi,odom_delta_mi,drift_pct,drift_warning,anchor_detected,anchor_type,static_anchors_total,micro_anchors_total,refuel_events_total,refuel_gallons,flags
2025-12-03 09:48:21,1.5,MOVING,403.07,106.48,48.40,48.40,403.07,106.48,,,48.40,OK,0.00,0.00,NOT_IDLE,ENGINE_OFF,,69.6,1472,0.60,269.0,190.4,759577.3,0.000,0.00,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:50:21,0.2,MOVING,401.35,106.02,48.19,47.60,396.41,104.72,,,48.19,OK,18.08,4.78,NOT_IDLE,ENGINE_OFF,,70.8,1472,0.80,269.0,192.2,759579.6,2.299,0.59,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:50:21,2.2,MOVING,400.30,105.75,48.07,47.60,396.41,104.72,,,48.07,OK,18.08,4.78,NOT_IDLE,ENGINE_OFF,,70.8,1472,0.80,269.0,192.2,759579.6,0.000,0.47,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:52:21,0.2,MOVING,397.89,105.11,47.78,45.60,379.75,100.32,,,47.78,OK,12.42,3.28,NOT_IDLE,ENGINE_OFF,,70.8,1472,0.60,275.6,190.4,759581.9,2.299,2.18,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:52:21,0.4,MOVING,397.57,105.03,47.74,45.60,379.75,100.32,,,47.74,OK,12.42,3.28,NOT_IDLE,ENGINE_OFF,,70.8,1472,0.60,275.6,190.4,759581.9,2.299,2.14,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:52:21,1.5,MOVING,395.37,104.45,47.48,45.60,379.75,100.32,,,47.48,OK,12.42,3.28,NOT_IDLE,ENGINE_OFF,,70.8,1472,0.60,275.6,190.4,759581.9,0.000,1.88,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:54:21,0.3,MOVING,392.64,103.72,47.15,44.80,373.09,98.56,,,47.15,OK,14.79,3.91,NOT_IDLE,ENGINE_OFF,,69.6,1472,0.60,364.2,194.0,759584.2,2.299,2.35,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:54:21,0.5,MOVING,394.45,104.20,47.37,44.80,373.09,98.56,,,47.37,OK,14.79,3.91,NOT_IDLE,ENGINE_OFF,,69.6,1472,0.60,364.2,194.0,759584.2,2.299,2.57,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:56:21,0.5,MOVING,397.04,104.89,47.68,50.00,416.39,110.00,,,47.68,OK,14.53,3.84,NOT_IDLE,ENGINE_OFF,,69.6,1472,0.80,321.5,190.4,759586.5,2.299,-2.32,NO,NO,AnchorType.NONE,0,0,0,,
2025-12-03 09:56:21,0.5,MOVING,395.14,104.38,47.45,50.00,416.39,110.00,,,47.45,OK,14.53,3.84,NOT_IDLE,ENGINE_OFF,,69.6,1472,0.80,321.5,190.4,759586.5,2.299,-2.55,NO,NO,AnchorType.NONE,0,0,0,,
